ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
103,1065475,566,小袋小,↑表示（庄内みどり）,,―,表示,ガイドライン,終了,―,ウラ,山形県,つや姫,5,https://www.dropbox.com/scl/fi/go77dwnhlehrk0cagkxdj/1065475A.jpg?rlkey=cxtqun2gfcava8r8yspq53s3z&st=6ht0xe7m&dl=0,
104,1245345,565,小袋大,家紋（おきたま）,,―,表示,デザイン・ガイド,終了,―,―,山形県,つや姫,5,https://www.dropbox.com/scl/fi/tirjs1k0mc91o59tt4rjt/1245345A.jpg?rlkey=wkn3v2l44ehp8n9i13t0xsfjr&st=9gbw7979&dl=0,
1,1184643,565,小袋大,陽娘,,―,―,デザイン,スポット中心,―,オモテ,愛知県,あいちのかおり,4,https://www.dropbox.com/scl/fi/3nc58vnmi55cifd1j1a1s/1184643A.jpg?rlkey=p722tw6nwgmuxcb81cexxax8x&st=3ubac3hx&dl=0,
2,1184642,565,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,愛知県,あいちのかおり,4,https://www.dropbox.com/scl/fi/nsqud997w8dh74pyef9xc/1184642A.jpg?rlkey=r7po60vrtfafg7ajco32udc2n&st=wifokf7g&dl=0,
3,1163083,565,小袋大,陽娘,,―,―,デザイン,スポット中心,―,オモテ,愛知県,あいちのかおり,5,https://www.dropbox.com/scl/fi/cdctvx3lhcp3iwvvdjhnf/1163083A.jpg?rlkey=mc14h0x3t4ljn4dcmb1piz33r&st=rv5w9vcy&dl=0,
4,1163084,565,小袋大,↑表示,,―,表示,―,スポット中心,―,ウラ,愛知県,あいちのかおり,5,https://www.dropbox.com/scl/fi/xuqkk7o7edtcdvmtt06w2/1163084A.jpg?rlkey=i4h40dfezyjlbhdjnbriekjto&st=lc4ibgbd&dl=0,
5,1226855,566,小袋小,ダスキン,,―,表示,説明文,終了,―,―,青森県,青天の霹靂,1.2,https://www.dropbox.com/scl/fi/fz9i9qfvtycnca21vb34a/1226855A.jpg?rlkey=urv4du809bo1o6wpke9qwaa04&st=uislvybw&dl=0,
6,1182858,別注,上質,関電様用,,Ａ５,表示,デザイン・ガイド,スポット中心,特栽米,―,青森県,青天の霹靂,5,https://www.dropbox.com/scl/fi/w5l184x05zsw407v9u97v/1182858A.jpg?rlkey=7q5d761uhaa2it1er74jyc7jz&st=aqd9iov0&dl=0,
7,1229383,566,小袋小,ダスキン,,―,表示,説明文,終了,―,―,秋田県,あきたこまち,1.4,https://www.dropbox.com/scl/fi/nq6o3fhozabz3e9u7cjvg/1229383A.jpg?rlkey=6yz5s6m18sqnpqdltl6rm2gxg&st=70dtb5mg&dl=0,
8,1180696,565,小袋大,スギ薬局,,―,表示,デザイン,スポット中心,無洗米,―,秋田県,あきたこまち,2,https://www.dropbox.com/scl/fi/oe3s9k5hrzn1jfs5iqotr/1180696A.jpg?rlkey=jyt8om9ijpb1bubi05j6p2dfg&st=1dmgv1q2&dl=0,
9,1180697,565,小袋大,スギ薬局,,―,表示,デザイン,スポット中心,無洗米,―,秋田県,あきたこまち,5,https://www.dropbox.com/scl/fi/wzbewj874xif27kwrbd7k/1180697A.jpg?rlkey=v0l4i277vqur5lwcecfm0vc0m&st=y0o30tco&dl=0,
10,1196476,565,小袋大,―,,―,表示,デザイン・ガイド,終了,特栽米,―,秋田県大潟村,あきたこまち,3,https://www.dropbox.com/scl/fi/5v4zvzv0plkg3bcoz7tlm/1196476A.jpg?rlkey=9dl446rr7cqfgg5pnpfztpwpc&st=rzcg7vc0&dl=0,
11,1189312,565,小袋大,―,,―,表示,デザイン・ガイド,終了,特栽米,―,秋田県大潟村,あきたこまち,5,https://www.dropbox.com/scl/fi/qvqwmy0y615pogp8q1d8f/1021314A.jpg?rlkey=cj8xif7hgjy1mqlizof694f77&st=b57hbg6n&dl=0,
12,1258049,564,丸型小,地域復興応援,,―,―,―,,―,―,石川県能登,こしひかり,ー,,
13,1167265,565,小袋大,スギ薬局,,―,表示,デザイン,定番化,棚田米,―,石川県能登,コシヒカリ,5,https://www.dropbox.com/scl/fi/jn8z2vkmifqpa76wnhxj6/1167265A.jpg?rlkey=8d94ax67hs5uv8ea10ayvwgft&st=o7x7lexi&dl=0,
14,1222498,565,小袋大,スギ薬局,,―,―,デザイン,終了,特栽米棚田米,オモテ,石川県能登,コシヒカリ,5,https://www.dropbox.com/scl/fi/jm4kzx8mbg7jarkkdoxly/1222498A.jpg?rlkey=1d2p71etu7pkqdsuk9sj6ant2&st=2p4z52ok&dl=0,
15,1222499,594,小袋中,↑表示・ガイド,,―,表示,ガイドライン,終了,―,ウラ,石川県能登,コシヒカリ,5,https://www.dropbox.com/scl/fi/a8ikaxpcjegeqss3hzzi3/1222499A.jpg?rlkey=kbpgthq2v89dtwtnrxbpnwvf6&st=53pzw844&dl=0,
16,1178868,565,小袋大,―,,ＪＡＮ,表示,デザイン・ガイド,終了,特栽米,―,岩手県,ひとめぼれ,3,https://www.dropbox.com/scl/fi/8iy4ouwqrbx780wthr2r4/1178868A.jpg?rlkey=wmini9lytwfxtcdtm55zoi05d&st=qksq8u6d&dl=0,
17,1226856,566,小袋小,ダスキン,,―,表示,説明文,企業専用,―,―,香川県,おいでまい,1,https://www.dropbox.com/scl/fi/17i5da43k3eitkmeufrqm/1226856A.jpg?rlkey=uqffwse85ht16aia91dqg52pb&st=n8h6hjr4&dl=0,
18,1258070,594,小袋中,―,,―,表示,デザイン,,―,―,京都府,きぬむすめ,0.15,,
19,1189306,565,小袋大,―,,―,表示,デザイン・ガイド,終了,特栽米,―,京都府,コシヒカリ,3,https://www.dropbox.com/scl/fi/o6m136qcadpgak6ty9fbx/1189306A.jpg?rlkey=vul8a96kh5x2klwwfhmsoe86n&st=abxnwns3&dl=0,
20,1252589,565,小袋大,―,,―,表示,デザイン,,新米,―,高知県,南国そだち,2,https://www.dropbox.com/scl/fi/y3bt90v5r77hx12xsvhya/1252589A.jpg?rlkey=yau53c1vjc6y3dv0fkkoybdk0&st=r5faaa6f&dl=0,
21,1099720,565,小袋大,―,,―,―,デザイン,終了,有機栽培米,オモテ,滋賀県,コシヒカリ,2,https://www.dropbox.com/scl/fi/69hh3esq1g9nfta25cmat/1099720A.jpg?rlkey=zxsi567w3qb9xhbz2tzpez1po&st=2kit3x5p&dl=0,
22,1099721,566,小袋小,↑表示・ＪＡＮ,,ＪＡＮ,表示,―,終了,―,ウラ,滋賀県,コシヒカリ,2,https://www.dropbox.com/scl/fi/d1w1ink2986o8q5iinsj5/1099721A.jpg?rlkey=2ehdp9xnixf29fwlspywnqnh8&st=w16mge8v&dl=0,
23,1098698,565,小袋大,―,,―,―,デザイン,,有機栽培米,オモテ,滋賀県,ミルキークイーン,2,https://www.dropbox.com/scl/fi/mcbix6r5ab1qjuv5ikkeh/1098698A.jpg?rlkey=g2q5m6shk5f9dhzzwcusmsw9s&st=flhjth31&dl=0,
24,1098697,566,小袋小,―,,ＪＡＮ,表示,―,,有機栽培米,ウラ,滋賀県,ミルキークイーン,2,https://www.dropbox.com/scl/fi/cwcvsijplvsb8vrnrfpju/1098697A.jpg?rlkey=lw2uapu8k7eh07ue3j8mzpqag&st=aif5nfpe&dl=0,
25,1180700,565,小袋大,スギ薬局,,―,表示,デザイン,スポット中心,無洗米,―,富山県,コシヒカリ,2,https://www.dropbox.com/scl/fi/a1nr71t56t5jkm8ayon6d/1180700A.jpg?rlkey=ozym0dou8k0zzr08ecwfwz6r1&st=6g74ohby&dl=0,
26,1180701,565,小袋大,スギ薬局,,―,表示,デザイン,スポット中心,無洗米,―,富山県,コシヒカリ,5,https://www.dropbox.com/scl/fi/p080a5jfaaau7z5ojewho/1180701A.jpg?rlkey=ua2j6eb221qto3qulsdl84o1u&st=n4xs1or8&dl=0,
27,1200558,565,小袋大,スギ薬局,,―,表示,デザイン,定番化,無洗米,―,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/k2xcq221turrxaa2e1z0l/1200558A.jpg?rlkey=4sbliqurixopemlyoa6vxgaqm&st=ltd2tadt&dl=0,
28,1200559,565,小袋大,スギ薬局,,―,表示,デザイン,定番化,無洗米,―,新潟県,コシヒカリ,5,https://www.dropbox.com/scl/fi/uts11fyy86daikoy7v9lm/1200559A.jpg?rlkey=ap1zjqlxndol762uj96scly19&st=r9pyj3kr&dl=0,
29,1217405,566,小袋小,―,,―,表示,デザイン,スポット中心,―,―,新潟県,新之助,0.3,https://www.dropbox.com/scl/fi/wifhdb4rqdki6y6dovvbw/1217405A.jpg?rlkey=6iycb78lvtgqxwdxn647nhuzk&st=f4o1q5yh&dl=0,
30,1097451,594,小袋中,アピデ,,―,表示,デザイン,定番化,―,―,新潟県魚沼,コシヒカリ,0.3,https://www.dropbox.com/scl/fi/kdnsluwh4apz12q9p4vwo/1097451A.jpg?rlkey=a1bz0iibqy4j3ipklckgb2p32&st=dozu5z36&dl=0,
31,1167268,594,小袋中,金澤さん,,―,―,デザイン,スポット中心,特栽米,,新潟県,コシヒカリ,1,https://www.dropbox.com/scl/fi/3o9temqz5tkiyva2ehpqy/1167268A.jpg?rlkey=wbc3qsbqkbzcjiw08g9hdek1w&dl=0,
32,1080057,594,小袋中,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,1,https://www.dropbox.com/scl/fi/1cxxm8wya9savibvd8xri/1080057A.jpg?rlkey=i8x4l85hh3gwkaf5v8z9btti2&st=bhlflmaa&dl=0,
33,1080058,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,1,https://www.dropbox.com/scl/fi/s43yqxjqcxf4230tpm0n0/1080058A.jpg?rlkey=j6l7dbyix8y5ddooyybe6n6pa&st=7nqukajo&dl=0,
34,1080059,565,小袋大,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,1.3,https://www.dropbox.com/scl/fi/1zsv4x4o5q1rhqahifk5u/1080059A.jpg?rlkey=l0vr45hgd4eqgy9ymqzc7qt4p&st=f0dlw2m9&dl=0,
35,1080060,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,1.3,https://www.dropbox.com/scl/fi/bevxugqiee7kwzyfjubci/1080060A.jpg?rlkey=9ctrdt08tvscunteuht1lysod&st=stvtjd4c&dl=0,
36,1080061,565,小袋大,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,1.8,https://www.dropbox.com/scl/fi/l39j721x1h2wzr3zhjtmx/1080061A.jpg?rlkey=v6dxrrbo3uj534x7ct88sf4ww&st=yo1m3rwl&dl=0,
37,1080062,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,1.8,https://www.dropbox.com/scl/fi/jqbw99vi75opt4ed6ivuc/1080062A.jpg?rlkey=q2yfzbyokhhgrfbnczlljl91n&st=pq41tjv9&dl=0,
38,1080063,565,小袋大,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,2.5,https://www.dropbox.com/scl/fi/22d6r2u0eybu5j4513fzm/1080063A.jpg?rlkey=ro4krdxkytbdztmtgz14ktw2u&st=g5udvwgk&dl=0,
39,1080064,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,2.5,https://www.dropbox.com/scl/fi/qnvcaohzsy51cvu7xvr7e/1080064A.jpg?rlkey=8icsi5r6l2xgc8vhkdohkvru0&st=ieb8xtqr&dl=0,
40,1080065,565,小袋大,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/vszdqn7cy55s7jio7nqvx/1080065A.jpg?rlkey=7z9z29q6vrogxzq3e6p66zqwt&st=2ion0j6k&dl=0,
41,1080066,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/61urgo54lowhgpbdmfww4/1080066A.jpg?rlkey=f8e4pvej2xayqrdbuszq6nm8p&st=7h2m6aic&dl=0,
42,1080067,565,小袋大,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,4,https://www.dropbox.com/scl/fi/z9lqsohliha99nljhhyz8/1080067A.jpg?rlkey=cxjpr902xnq2r6fnnrroxnt8x&st=bk9vqcub&dl=0,
43,1080068,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,4,https://www.dropbox.com/scl/fi/epakiy0kqi40dsik0yr4t/1080068A.jpg?rlkey=ipr8bf6dosadtpzoyrq44uhjk&st=vtmwdztv&dl=0,
44,1080069,565,小袋大,アピデ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/dkzjpwnnr16fbeec3m2o6/1080069A.jpg?rlkey=px4fx6cyp1goil3mz3v46j137&st=5u751wp6&dl=0,
45,1080070,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/ruifmxgjd2e7neop4d3rh/1080070A.jpg?rlkey=tbqq1yabip0po2u8wunmow0op&st=tsv9bhxt&dl=0,
46,1178866,565,小袋大,―,,―,表示,デザイン・ガイド,終了,特栽米,―,兵庫県丹波市,コシヒカリ,3,https://www.dropbox.com/scl/fi/722d5v0ytdflheqej8mlw/1178866A.jpg?rlkey=1arw1inmqjl8ijdqgz1gklwjd&st=xbb82qjd&dl=0,
47,1178867,565,小袋大,―,,―,表示,デザイン・ガイド,終了,特栽米,―,福井県,コシヒカリ,3,https://www.dropbox.com/scl/fi/uie3desn5v0e278g2dvyn/1178867A.jpg?rlkey=2c4m3e383jl2gobo2pavirkwa&st=14pd76c9&dl=0,
48,1258919,594,小袋中,ＪＡ越前たけふ,,―,表示,デザイン,,越南３１５号,―,福井県,越南３１５号,0.3,,
49,1184437,565,小袋大,おすし最適米,,―,表示,デザイン,スポット中心,―,―,福井県,日本晴,0.15,https://www.dropbox.com/scl/fi/o8otkzjsbilm8im7l4vma/1184437A.jpg?rlkey=yptfzq0bviqo0uon5st8brqf3&st=d9c52eu6&dl=0,
50,1258918,594,小袋中,ＪＡ越前たけふ,,―,表示,デザイン,,ハイブリットとうごう４４号,―,福井県,しきゆたか,0.3,,
51,1256031,565,小袋大,ＪＡきたかわ指定,,―,表示,デザイン・ガイド,,高度クリーン・脱酸なし,―,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/fcs19p1azdk9hie05c2k0/1256031A.jpg?rlkey=3qk9k4oyr28i8ndpj4j1dj1n7&st=dh1gaue0&dl=0,
52,1212344,565,小袋大,ＪＡきたかわ指定,,―,表示,デザイン・ガイド,,高度クリーン・脱酸あり,―,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/l2mg4i27mx6i9h8o5s4j6/1212344A.jpg?rlkey=2difb3496h9rtk557n0z786s4&st=2fqkdrvd&dl=0,
53,1212344,565,小袋大,ＪＡきたかわ指定,,―,―,デザイン,スポット中心,使用禁止,オモテ,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/l2mg4i27mx6i9h8o5s4j6/1212344A.jpg?rlkey=2difb3496h9rtk557n0z786s4&st=srxy8rzf&dl=0,
54,1212349,594,小袋中,↑表示・ガイド,,―,表示,ガイドライン,スポット中心,使用禁止,ウラ,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/5760bvijs79z2zbl5c777/1212349A.jpg?rlkey=g2sjva0su6saxirg13rb4yf76&st=psehedn7&dl=0,
55,1212343,565,小袋大,ＪＡきたかわ指定,,―,表示,デザイン・ガイド,スポット中心,高度クリーン,―,北海道,ななつぼし,5,https://www.dropbox.com/scl/fi/radsw01ycclmd203sv059/1212343A.jpg?rlkey=2oc4mzt95l3b571vkp8a7cjdp&st=ermtlori&dl=0,
56,1212348,594,小袋中,↑表示・ガイド,,―,表示,ガイドライン,スポット中心,使用禁止,ウラ,北海道,ななつぼし,5,https://www.dropbox.com/scl/fi/orb7wwmhqahzjwxy3rqvt/1212348A.jpg?rlkey=8iv112cqspsarvnjqpcqvrghy&st=earcgyan&dl=0,
57,1195368,594,小袋中,金賞健康米,,―,表示,デザイン,企業専用,―,―,北海道,ゆめぴりか,0.3,https://www.dropbox.com/scl/fi/um7k8v19rtkjtn5tg538u/1195368A.jpg?rlkey=gum9azthg5z16w7rqtx06bo10&st=cx0vvjlr&dl=0,
58,1195366,594,小袋中,金賞健康米,,―,表示,デザイン,終了,―,―,北海道,ゆめぴりか,1,https://www.dropbox.com/scl/fi/m5yon1ri5ne0th0e1yo8f/1195366A.jpg?rlkey=4g6kivuheittqhlx5kmai4cwv&st=blzezcne&dl=0,
59,1195365,565,小袋大,金賞健康米,,―,表示,デザイン,終了,―,―,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/ldyxxu2cy28o55gj4ntcn/1195365A.jpg?rlkey=6t98dwbmqkums8o9zrn29mh1y&st=ef7k6ga8&dl=0,
60,1212345,565,小袋大,ＪＡきたかわ指定,,―,―,デザイン,スポット中心,高度クリーン,オモテ,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/y40trs2fsrx2lqcnmx240/1212345A.jpg?rlkey=2qt6tb257ijo4k32l513cy21j&st=lqwww442&dl=0,
61,1212351,594,小袋中,↑表示・ガイド,,―,表示,ガイドライン,スポット中心,―,ウラ,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/zvjeof0mpzgh4kun5s7mb/1212351A.jpg?rlkey=gw2g5y6spft7g7x1od52yi9gm&st=nbqv1orc&dl=0,
62,1227420,565,小袋大,ハッピーバースデイ,,―,―,デザイン,企業専用,高度クリーン,オモテ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/16g14kd46cj0n4s4vm73c/1227420A.jpg?rlkey=ekkq1ltr40h8nt6hvye6c7vh7&st=q86xdrh7&dl=0,
63,1212352,594,小袋中,↑表示・ガイド,,―,表示,ガイドライン,企業専用,―,ウラ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/8tny55g4owvmnuftz36a9/1212352A.jpg?rlkey=tg7jrzqlgylxs1ty61xq5kqeu&st=80doy8kf&dl=0,
64,1212346,565,小袋大,ＪＡきたかわ指定,,―,―,デザイン,スポット中心,高度クリーン,オモテ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/ymdh79eya8lb1gz073ft1/1212346A.jpg?rlkey=wc1ys03dthvj9ogxmtiy8u8fx&st=h6lmtbif&dl=0,
65,1212352,594,小袋中,↑表示・ガイド,,―,表示,ガイドライン,スポット中心,―,ウラ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/8tny55g4owvmnuftz36a9/1212352A.jpg?rlkey=tg7jrzqlgylxs1ty61xq5kqeu&st=80doy8kf&dl=0,
66,1233867,565,小袋大,石坂さんの旭川,,―,―,デザイン,スポット中心,―,オモテ,北海道旭川市,ゆめぴりか,2,https://www.dropbox.com/scl/fi/7az54utbw1qw7jp804q7a/1233867A.jpg?rlkey=ilf58emjywl3q6v2a9hfe9wd0&st=esqeuhjj&dl=0,
67,1234215,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,北海道旭川市,ゆめぴりか,2,https://www.dropbox.com/scl/fi/xxnrvploec48bsx1p7hkq/1234215A.jpg?rlkey=cjcrs8v3rogp31pftqsw7i8c4&st=eqxgof5u&dl=0,
68,1232193,594,小袋中,―,,―,表示,デザイン,終了,新米,―,三重県,コシヒカリ,0.3,https://www.dropbox.com/scl/fi/3j7rzt2ffdzuvmzboin4n/1232193A.jpg?rlkey=ew5161ssq9dtjfwdlmfdntqu3&st=4dx0hx2k&dl=0,
69,1233127,565,小袋大,―,,―,表示,デザイン,終了,新米,―,三重県,コシヒカリ,2,https://www.dropbox.com/scl/fi/bx57fdysmayuhk7vnmwr3/1233127A.jpg?rlkey=saxvxapxq8v9za1ryzq9jxvdn&st=xg82ro1x&dl=0,
70,1050605,565,小袋大,玄米食専用,,―,―,デザイン,終了,玄米,オモテ,宮城県,金のいぶき,5,https://www.dropbox.com/scl/fi/9ddhzbxcb7y5ihsdjgx7s/1050605A.jpg?rlkey=e97zbdk93d2nhplmpjwtu9wk0&st=aeoj44zn&dl=0,
71,1050606,565,小袋大,↑表示・ＪＡＮ,,ＪＡＮ,表示,デザイン,終了,―,ウラ,宮城県,金のいぶき,5,https://www.dropbox.com/scl/fi/2roe4qrjrmki1achrwa4k/1050606A.jpg?rlkey=yuk70g983obttl1adsc0qfzxy&st=a4x555q2&dl=0,
72,1245338,566,小袋小,―,,―,表示,―,終了,―,―,山形県,つや姫,3,https://www.dropbox.com/scl/fi/md7q7ke5hbakkkm2q8jx3/1245338A.jpg?rlkey=7wgmdvvmulmtxhq8kbo67ja9a&st=z79hfkt1&dl=0,
73,1220111,594,小袋中,県消県産,,―,表示,デザイン,企業専用,―,―,山口県,コシヒカリ,0.3,https://www.dropbox.com/scl/fi/4izuyunvw8ydr8xlnb65e/1220111A.jpg?rlkey=vylwqerfo0blakiog6qwfjtai&st=24qb8m41&dl=0,
74,1199426,564,丸型小,ウィズオノウェア,,―,―,―,終了,ＷＯＷ,―,―,―,0.3,https://www.dropbox.com/scl/fi/44qnuy05eidau33p5qjv0/1199426A.jpg?rlkey=01f23fb00ygcm125ugfjlknfm&st=tvflakus&dl=0,
75,1243876,566,小袋小,ダスキン,,―,表示,説明文,企業専用,―,―,複数原料米,―,1,,
76,1255943,566,小袋小,ダスキン,,―,表示,説明文,企業専用,―,―,複数原料米,―,1.4,https://www.dropbox.com/scl/fi/mfju0ejkh9oqokluscb5y/1255943A.jpg?rlkey=p7du04jxruc87i3ssmyf39oof&st=2t52ih3i&dl=0,
77,1200802,565,小袋大,新婚さんいらっ米,,―,―,―,企業専用,―,―,―,―,5,https://www.dropbox.com/scl/fi/wdek7kkv8mqihxbb1cpvk/1200802A.jpg?rlkey=mekl0d0n08k0r9aytabyoy99m&st=mcwyt5ze&dl=0,
78,1144252,564,丸型小,感謝を米て（ＮＩＳＳＹ）,,―,―,デザイン,企業専用,―,―,―,―,―,https://www.dropbox.com/scl/fi/iciw9flhgi6z39w3oc6zy/1144252A.jpg?rlkey=8djsfg6deuw4n4e9bk4e5236w&st=k2idxaqn&dl=0,
79,1148311,566,小袋小,ガイドライン一覧,,―,―,―,定番化,ＱＲコード,―,―,―,―,https://www.dropbox.com/scl/fi/74lq3y2danespukwyp1k5/1148311A.jpg?rlkey=wgh1npuf3yjc5856ev8s60z3x&st=d9a2nyq9&dl=0,
80,1163835,565,小袋大,ごはんのお供味ごま,,―,―,―,定番化,―,―,―,―,―,https://www.dropbox.com/scl/fi/gn8ot4j5pdgacr2hbwo0b/1163835A.jpg?rlkey=2phjiiey5i401tx3vr5760b24&st=imbvsz54&dl=0,
81,1212145,594,小袋中,こがね餅（杵つき）,,―,―,―,スポット中心,金澤さん,―,―,―,ー,https://www.dropbox.com/scl/fi/c65qtjs8k7paej5crmpdy/1212145A.jpg?rlkey=et0v6yvil4v6tagt25xb9zl68&st=9276baph&dl=0,
82,1258004,565,小袋大,ＮＴＴ西日本ルセント,,―,―,―,,―,―,―,―,ー,,
